"Song List",""
"Title","Author"
"500 Graus","Cassiane"
"1000 Graus","Renascer Praise"
"A alegria está no coração","Váriso artistas"
"A Benção","Gabriel Guedes"
"A Cada Momento","Aline Nascimento"
"A casa é Sua","Casa Worship"
"A contradição da cruz","Voz da Verdade"
"A cruz ainda me faz sonhar","Anderson Freire"
"A Ele a glória","Diante do Trono"
"A Igreja de joelhos","Antônia Gomes"
"A igreja vem","Anderson Freire"
"A jumenta vai falar","Gerson Rufino"
"A marca da promessa","Davi Sacer"
"A Oração","Eliã Oliveira"
"A Reforma","Jotta "
"A resposta","Renascer Praise"
"A Unção de Deus","Cassiane"
"A volta por cima","Flordelis"
"Abra os meus olhos","Jozyanne"
"Abraça-me","André Valadão"
"Aclame ao Senhor","Diante do Trono"
"Adorador por excelência","Nani Azevedo"
"Adorarei","Fabiana Anastácio"
"Agnus Dei","David Quinlan"
"Águas Purificadoras","Diante do Trono"
"Águas Purificadoras","Diante do Trono"
"Ainda Bem","Michelle Nascimento"
"Ainda que a figueira","Fernandinho"
"Aleluia","Gabriela Rocha"
"Aleluia, Salvação e Glória","Congresso PS 2021"
"Além do rio azul","Voz da Verdade"
"Algemado","Mara Lima"
"Algo Novo","Lukas Agostinho"
"Amazing Grace","Celtic Womam"
"Amigo Espirito Santo","Cassiane"
"Amo o Senhor","Fernanda Brum"
"Analus",""
"Ao Único","Aline Barros"
"Aos olhos do Pai","Canção Diante do trono "
"Aquieta Minh'alma","Ministério Zoe"
"Arvore  Cortada","Valesca Mayssa"
"Árvore Cortada","Valesca Mayssa"
"Song List",""
"Title","Author"
"As trevas estremecem","Mariana Valdão"
"Até Te encontrar","Be One Music"
"Até tocar o céu","Eyshila"
"Atos 2","Gabriela Rocha"
"Autor da Minha Fé","Cristina Mel"
"Aviva-me","Jessica Algusto"
"Aviva-nos","Davi Fernandes"
"Bem mais que tudo","Aline Barros"
"Benção de Deus","Reginaldo Domingo"
"Bendito Serás","Toque no Altar"
"Bendito Serei","Nani Azevedo"
"Bom é estarmos aqui","Renacer preise"
"Braço de Ferro","Alexandre Silva "
"Buscar Tua face é preciso","Ludmila Ferber"
"Cadeias Quebrar","Soraya Moraes"
"Caia fogo","Fernandinho"
"Caminho no Deserto","Soraya Morais"
"Caminho no Deserto","Buenos Aires Adoração"
"Canção do Apocalipse","Diante do Trono"
"Cancelado","Rayanne Vanessa"
"Canta Minh ’alma","Kemuel "
"Canta que Eu cuido","Cyda Brandão"
"Casa de Deus","Eli Soares"
"Casa do Pai","Aline Barros"
"Casa do Pai","Kleber Moura"
"Cenas","Álvaro Tito"
"Céu na Terra","Júlio Lima"
"Cheiro de Milagre","Antônia Gomes "
"Chuva de poder","Eyshila"
"Chuva de Sangue","Voz da Verdade"
"Cicatrizes","Jorge Araújo"
"Com Cristo é vencer","Cassiane"
"Com Cristo no barco",""
"Com muito Louvor","Cassiane"
"Começo, meio e fim",""
"Consagração","Aline Barros"
"Consolador","Damares"
"Conversando com Deus","Maurizélia"
"Coração igual ao Teu",""
"Coração Valente","Anderson Freire"
"Coral de Jerusalém",""
"Coral dos Homens","Vanilda Bordieri"
"Song List",""
"Title","Author"
"Corpo, Casa, Morada","Clovis Pinho"
"Creio que Tu És a cura","Gabriela Rocha"
"Cristo Pensa em mim",""
"Cristo Voltará - HC",""
"Cubra-me","Aline Barros"
"De Joelhos","Flordelis"
"De nada tenho falta","Jessica Augusto"
"Deixa eu te usar","Sarah Farias"
"Dependo de Ti","Paulo César Baruk"
"Depois do Culto","Samuel Mariano"
"Desapareceu um povo","Shirley Carvalhaes"
"Descansa",""
"Descansarei","Jeanne Mascarenhas"
"Desemborca o vaso (corinho)",""
"Deus cuida de mim","Kleber Lucas"
